CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,A.S.,A-UPP,PATRIA-UNIDOS,NGP,APP,CAOP,PDC,LIBRE,DEMOCRATAS,APB-SUMATE,UN,MNR
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003501,1,4,31,9,32,3,40,2,1,22,,1,5,8
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003511,2,3,50,13,23,5,23,1,3,19,,1,2,5
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003521,3,4,36,10,24,4,34,5,7,18,,1,2,3
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003531,4,4,39,10,37,2,26,6,4,27,,0,4,4
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003541,5,3,42,12,29,2,22,3,4,24,,4,3,9
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003551,6,4,15,10,11,0,7,1,4,15,,1,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003561,1,3,31,7,26,2,29,4,1,35,,4,6,4
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003571,2,6,48,5,32,4,33,0,3,35,,1,5,7
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003581,3,1,43,8,32,2,21,3,5,25,,6,6,6
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003591,4,3,16,5,18,4,21,1,1,19,,2,5,5
1,Tomás Frías,1,Potosí,1494,Potosí,4,Esc. Modesto Omiste,5003101,1,2,38,10,29,6,35,1,5,25,,1,2,8
1,Tomás Frías,1,Potosí,1494,Potosí,5,Esc. 1ro de Abril,5003391,1,4,46,12,33,2,21,6,5,23,,2,5,7
1,Tomás Frías,1,Potosí,1494,Potosí,5,Esc. 1ro de Abril,5003401,2,2,35,15,17,0,26,6,8,30,,2,4,4
1,Tomás Frías,1,Potosí,1494,Potosí,5,Esc. 1ro de Abril,5003411,3,0,18,11,9,1,7,0,0,9,,0,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,7,U. E. Antonio Quijarro  A,5003121,1,1,28,14,26,4,28,2,2,25,,0,7,9
1,Tomás Frías,1,Potosí,1494,Potosí,7,U. E. Antonio Quijarro  A,5003131,2,3,38,15,26,1,32,0,6,21,,7,5,8
1,Tomás Frías,1,Potosí,1494,Potosí,7,U. E. Antonio Quijarro  A,5003141,3,0,5,3,7,0,2,0,0,4,,0,0,1
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002761,1,4,35,0,31,5,24,1,6,27,,1,6,8
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002771,2,4,32,13,26,4,33,2,4,35,,2,2,6
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002781,3,4,36,3,28,2,24,3,8,29,,5,5,8
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002791,4,0,35,11,32,4,27,4,4,17,,4,5,15
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003601,1,7,49,12,37,5,27,3,3,26,,4,4,3
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003611,2,3,46,8,28,1,45,5,0,25,,1,1,7
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003621,3,5,25,16,27,6,28,3,4,25,,4,5,6
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003631,4,7,38,11,30,2,30,3,3,15,,1,5,12
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003641,5,4,30,1,20,1,19,3,2,15,,5,2,3
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002201,1,4,40,6,26,1,28,4,3,30,,6,4,7
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002211,2,3,39,10,29,2,25,5,1,33,,3,3,1
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002221,3,7,50,6,22,2,30,5,2,22,,2,8,6
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002231,4,8,39,8,26,1,23,1,6,18,,4,7,1
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002241,5,5,39,6,27,4,34,4,9,13,,5,5,6
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002251,6,7,42,8,24,1,20,2,3,21,,7,4,4
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002261,7,4,40,5,19,0,40,1,5,29,,2,4,4
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002271,8,4,39,9,28,1,30,1,5,40,,2,5,7
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002281,9,6,51,8,21,2,28,4,5,22,,6,6,3
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002291,10,3,33,5,17,2,25,1,6,31,,6,5,9
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002301,11,5,49,7,31,2,32,0,2,25,,2,3,9
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004241,1,7,52,11,25,1,37,5,5,13,,5,5,4
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004251,2,11,38,10,25,3,32,2,4,24,,5,3,2
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004281,5,3,40,13,35,4,20,5,3,17,,5,3,3
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004291,6,3,48,2,35,3,18,3,8,34,,6,4,2
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001161,1,6,47,6,18,4,32,0,2,20,,6,2,4
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001171,2,6,41,9,29,2,24,1,2,16,,2,5,3
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001181,3,2,53,7,31,1,30,2,4,10,,2,2,3
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001191,4,3,41,9,25,3,29,3,6,18,,3,4,5
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001201,5,5,46,7,27,0,33,1,5,16,,3,3,3
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001211,6,4,47,10,24,4,27,1,6,11,,2,2,7
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001221,7,4,42,6,29,4,28,3,5,18,,7,2,4
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001231,8,5,32,6,30,3,27,3,2,32,,4,3,5
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001301,1,2,58,10,29,2,16,4,6,13,,5,3,7
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001311,2,2,47,12,30,2,16,6,8,13,,0,3,4
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001321,3,3,44,5,33,2,25,2,3,10,,1,5,5
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001331,4,7,43,7,25,7,22,2,2,18,,1,0,3
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001341,5,3,62,4,29,7,12,7,4,8,,6,3,1
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001351,6,4,42,5,30,3,21,3,8,16,,0,5,0
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001361,7,4,37,3,29,3,18,4,3,9,,0,1,3
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001451,1,2,52,4,37,1,22,2,1,13,,2,5,2
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001461,2,4,46,8,25,3,23,0,3,18,,1,5,2
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001471,3,4,46,2,26,2,23,1,3,26,,4,6,3
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001481,4,8,50,5,35,1,14,3,4,9,,1,3,4
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001491,5,2,53,5,32,3,25,4,1,16,,4,4,2
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001501,6,4,64,2,34,4,14,0,3,11,,1,3,2
