CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012217,1,240,205,3,10,218,205,218
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012227,2,240,206,1,9,216,206,216
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012237,3,240,204,6,14,224,204,224
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012247,4,240,204,4,8,216,204,216
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012267,6,240,197,3,10,210,197,210
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012277,7,240,215,2,7,224,215,224
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012287,8,240,202,2,12,216,202,216
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012297,9,240,200,1,12,213,200,213
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012307,10,240,210,2,11,223,210,223
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012317,11,240,195,6,14,215,195,215
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012337,13,240,192,5,18,215,192,215
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012347,14,240,195,1,21,217,195,217
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012357,15,240,202,2,17,221,202,221
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012367,16,240,200,3,14,217,200,217
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012377,17,240,201,4,14,219,201,219
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012387,18,240,206,1,14,221,206,221
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012397,19,240,199,4,13,216,199,216
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012407,20,28,23,0,1,24,23,24
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012417,1,240,205,2,14,221,205,221
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012427,2,240,203,1,10,214,203,214
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012437,3,240,201,5,15,221,201,221
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012447,4,240,210,2,7,219,210,219
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012457,5,240,201,3,13,217,201,217
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012477,7,240,206,5,8,219,206,219
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012487,8,240,203,1,14,218,203,218
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012497,9,240,206,3,10,219,206,219
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012527,1,240,196,3,14,213,196,213
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012537,2,240,210,2,8,220,210,220
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012547,3,240,192,5,16,213,192,213
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012557,4,240,202,5,17,224,202,224
