CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA-UNIDOS,MTS,A.S.,APP,DEMOCRATAS,A-UPP,PDC,UN,CAOP,NGP,APB-SUMATE,LIBRE,CAOCH,CONACH-W,CSUTOAPCH,A-P,ASCAP,JAP,S-P,MNR,POR
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003507,1,16,20,8,8,1,2,1,3,3,13,8,8,,,,,1,8,14,27,
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003517,2,16,20,20,3,0,1,2,9,3,9,14,10,,,,,3,8,17,14,
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003527,3,10,18,9,10,1,2,3,5,3,11,12,15,,,,,1,13,16,20,
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003537,4,18,14,12,2,1,2,3,13,0,17,13,7,,,,,2,11,19,23,
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003547,5,14,12,16,8,0,4,2,1,1,12,17,9,,,,,4,14,21,20,
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003557,6,5,13,5,1,1,1,0,1,1,6,8,4,,,,,1,5,7,13,
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003567,1,13,15,22,13,2,2,1,3,1,17,13,13,,,,,1,9,18,14,
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003577,2,13,19,19,5,2,2,2,2,2,17,13,16,,,,,4,8,16,21,
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003587,3,14,18,18,4,1,0,3,5,1,12,17,16,,,,,3,5,18,21,
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003597,4,7,12,3,6,1,1,1,4,1,14,8,6,,,,,2,5,12,15,
1,Tomás Frías,1,Potosí,1494,Potosí,4,Esc. Modesto Omiste,5003107,1,18,13,9,14,0,4,2,7,1,21,9,5,,,,,1,12,23,25,
1,Tomás Frías,1,Potosí,1494,Potosí,4,Esc. Modesto Omiste,5003117,2,11,11,13,6,0,4,2,2,3,10,12,4,,,,,1,9,17,14,
1,Tomás Frías,1,Potosí,1494,Potosí,5,Esc. 1ro de Abril,5003397,1,13,30,23,2,0,1,4,2,2,12,7,10,,,,,2,8,24,21,
1,Tomás Frías,1,Potosí,1494,Potosí,5,Esc. 1ro de Abril,5003407,2,15,11,16,8,2,2,4,6,3,15,14,11,,,,,2,9,19,17,
1,Tomás Frías,1,Potosí,1494,Potosí,5,Esc. 1ro de Abril,5003417,3,8,2,5,0,0,4,0,3,3,10,2,2,,,,,1,3,7,3,
1,Tomás Frías,1,Potosí,1494,Potosí,7,U. E. Antonio Quijarro  A,5003127,1,18,16,9,8,1,2,4,3,0,19,4,7,,,,,1,9,13,31,
1,Tomás Frías,1,Potosí,1494,Potosí,7,U. E. Antonio Quijarro  A,5003137,2,14,15,12,7,0,1,4,7,1,20,18,8,,,,,1,9,23,22,
1,Tomás Frías,1,Potosí,1494,Potosí,7,U. E. Antonio Quijarro  A,5003147,3,9,2,0,2,0,0,0,0,0,0,0,1,,,,,0,0,1,8,
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002767,1,26,18,5,5,0,3,3,3,2,10,7,12,,,,,4,10,10,30,
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002777,2,17,16,16,6,0,1,1,4,5,19,8,11,,,,,6,8,15,25,
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002787,3,19,15,9,3,0,1,2,6,5,10,8,11,,,,,1,7,15,35,
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002797,4,16,13,9,8,1,1,3,5,1,14,5,11,,,,,2,12,25,32,
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003607,1,29,14,18,5,3,3,1,4,1,24,11,9,,,,,7,12,18,14,
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003617,2,23,8,11,7,1,0,1,5,6,20,8,12,,,,,2,10,24,18,
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003627,3,23,12,17,8,1,1,4,3,0,20,12,7,,,,,3,12,17,16,
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003637,4,24,16,10,8,1,0,0,3,6,19,17,9,,,,,2,11,17,17,
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003647,5,9,12,19,7,1,2,2,1,3,6,8,5,,,,,1,4,8,10,
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002207,1,18,20,17,6,2,0,0,5,1,21,7,8,,,,,3,3,11,25,
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002217,2,22,17,17,7,2,0,2,2,3,13,8,7,,,,,4,11,18,10,
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002227,3,22,21,12,7,0,1,7,3,3,15,12,10,,,,,4,7,9,13,
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002237,4,19,14,16,3,3,3,4,5,1,12,12,7,,,,,4,5,9,14,
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002247,5,13,13,15,6,1,2,3,3,0,18,16,8,,,,,3,16,13,11,
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002257,6,17,17,24,3,2,0,1,7,3,8,10,13,,,,,0,10,15,9,
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002267,7,24,8,14,8,2,0,0,3,1,15,6,12,,,,,7,5,13,14,
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002277,8,14,15,13,7,2,1,3,6,2,19,13,22,,,,,6,13,13,21,
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002287,9,14,16,21,6,3,3,3,6,4,13,18,8,,,,,8,5,17,14,
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002297,10,15,9,13,7,0,2,1,8,2,17,10,9,,,,,3,8,15,13,
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002307,11,25,12,15,3,1,1,4,7,1,19,10,9,,,,,3,8,16,25,
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004247,1,16,24,19,11,1,5,1,7,3,8,13,5,,,,,1,9,23,16,
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004257,2,17,20,15,3,1,2,3,4,2,14,12,15,,,,,0,11,14,16,
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004267,3,15,23,13,4,4,1,1,3,5,11,9,8,,,,,4,13,15,17,
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004277,4,16,31,23,6,1,1,2,6,1,17,9,4,,,,,4,6,11,13,
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004287,5,26,18,16,5,1,0,1,5,7,10,13,10,,,,,3,13,13,9,
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004297,6,25,28,19,3,0,0,1,4,3,11,13,15,,,,,4,14,11,7,
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004307,7,2,1,6,0,0,0,0,1,0,1,0,0,,,,,0,0,1,1,
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001167,1,15,21,15,7,2,3,1,6,5,13,15,5,,,,,3,11,6,15,
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001177,2,17,14,16,3,1,1,2,3,1,16,11,4,,,,,1,7,8,21,
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001187,3,22,13,15,4,0,1,3,2,7,19,14,5,,,,,1,6,11,11,
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001197,4,18,11,15,6,0,6,4,6,3,12,12,6,,,,,4,4,21,19,
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001207,5,21,16,13,3,1,1,1,6,4,12,11,10,,,,,5,8,13,18,
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001217,6,26,13,21,5,2,1,2,4,2,7,11,5,,,,,5,8,14,12,
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001227,7,23,17,12,3,0,0,5,4,7,13,14,11,,,,,5,8,8,17,
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001237,8,18,10,16,5,1,1,0,8,6,16,13,10,,,,,1,9,6,17,
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001307,1,16,17,29,4,1,1,2,4,2,12,9,5,,,,,2,10,14,21,
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001317,2,14,15,27,2,1,4,4,1,5,3,9,5,,,,,4,6,9,20,
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001327,3,20,18,20,4,1,0,3,4,2,14,4,0,,,,,2,8,14,18,
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001337,4,14,14,15,2,2,1,5,4,9,13,11,7,,,,,4,5,7,15,
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001347,5,13,16,26,2,1,1,2,6,6,8,7,3,,,,,4,15,5,8,
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001357,6,18,10,17,9,3,2,6,3,1,10,6,7,,,,,2,12,12,8,
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001367,7,12,11,14,3,1,1,4,3,3,4,6,4,,,,,2,8,11,8,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001457,1,22,12,22,5,1,3,2,3,2,10,6,0,,,,,6,9,8,13,
