CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003507,1,240,141,46,18,205,141,205
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003517,2,240,149,53,9,211,149,211
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003527,3,240,149,47,17,213,149,213
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003537,4,240,157,50,8,215,157,215
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003547,5,240,155,51,15,221,155,221
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003557,6,99,72,13,2,87,72,87
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003567,1,240,157,41,12,210,157,210
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003577,2,240,161,47,8,216,161,216
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003587,3,240,156,51,5,212,156,212
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003597,4,160,98,37,8,143,98,143
1,Tomás Frías,1,Potosí,1494,Potosí,4,Esc. Modesto Omiste,5003107,1,240,164,50,13,227,164,227
1,Tomás Frías,1,Potosí,1494,Potosí,4,Esc. Modesto Omiste,5003117,2,192,119,46,5,170,119,170
1,Tomás Frías,1,Potosí,1494,Potosí,5,Esc. 1ro de Abril,5003397,1,240,161,46,11,218,161,218
1,Tomás Frías,1,Potosí,1494,Potosí,5,Esc. 1ro de Abril,5003407,2,240,154,51,15,220,154,220
1,Tomás Frías,1,Potosí,1494,Potosí,5,Esc. 1ro de Abril,5003417,3,90,53,19,9,81,53,81
1,Tomás Frías,1,Potosí,1494,Potosí,7,U. E. Antonio Quijarro  A,5003127,1,240,145,54,22,221,145,221
1,Tomás Frías,1,Potosí,1494,Potosí,7,U. E. Antonio Quijarro  A,5003137,2,240,162,51,14,227,162,227
1,Tomás Frías,1,Potosí,1494,Potosí,7,U. E. Antonio Quijarro  A,5003147,3,29,23,4,0,27,23,27
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002767,1,240,148,63,5,216,148,216
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002777,2,240,158,37,21,216,158,216
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002787,3,240,147,49,15,211,147,211
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002797,4,231,158,45,7,210,158,210
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003607,1,240,173,46,9,228,173,228
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003617,2,240,156,57,7,220,156,220
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003627,3,240,156,48,15,219,156,219
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003637,4,240,160,51,13,224,160,224
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003647,5,150,98,34,5,137,98,137
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002207,1,240,147,47,13,207,147,207
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002217,2,240,143,44,19,206,143,206
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002227,3,240,146,52,10,208,146,208
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002247,5,240,141,60,11,212,141,212
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002267,7,240,132,56,24,212,132,212
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002277,8,240,170,40,8,218,170,218
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002287,9,240,159,42,7,208,159,208
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002297,10,240,132,61,16,209,132,209
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002307,11,257,159,44,18,221,159,221
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001177,2,240,126,72,23,221,126,221
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001187,3,240,134,64,24,222,134,222
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001237,8,214,137,41,17,195,137,195
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001307,1,240,149,61,8,218,149,218
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001317,2,240,129,69,15,213,129,213
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001327,3,240,132,73,12,217,132,217
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001347,5,240,123,77,16,216,123,216
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001357,6,240,126,72,11,209,126,209
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001367,7,169,95,37,17,149,95,149
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002317,1,240,127,35,7,169,127,169
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002327,2,240,110,60,17,187,110,187
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002337,3,240,131,63,14,208,131,208
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002347,4,240,109,79,15,203,109,203
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002357,5,240,127,88,8,223,127,223
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002367,6,240,130,66,13,209,130,209
