CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000017,1,240,169,12,18,199,169,199
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000027,2,240,189,6,12,207,189,207
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000037,3,240,173,12,19,204,173,204
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000047,4,240,170,10,18,198,170,198
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000057,5,240,168,8,26,202,168,202
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000067,6,240,157,8,28,193,157,193
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000077,7,240,161,8,27,196,161,196
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000087,8,240,162,14,21,197,162,197
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000107,10,240,182,4,20,206,182,206
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000117,11,240,173,7,12,192,173,192
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000127,12,209,156,7,19,182,156,182
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000167,1,240,158,8,27,193,158,193
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000177,2,73,45,2,10,57,45,57
1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,6000187,1,240,160,13,25,198,160,198
1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,6000207,1,240,170,15,19,204,170,204
1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,6000217,2,93,55,7,8,70,55,70
1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,6000227,1,240,139,12,41,192,139,192
1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,6000237,2,43,28,3,2,33,28,33
1,Cercado,1,Tarija,1869,Carlazo Centro,1,U.E. Carlazo Centro,6000247,1,155,101,6,21,128,101,128
1,Cercado,1,Tarija,1870,Papachacra,1,U.E. Papachacra,6000257,1,208,135,13,28,176,135,176
1,Cercado,1,Tarija,1871,San Agustin Sud,1,U.E. San Agustin Sud,6000267,1,176,97,11,35,143,97,143
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000287,2,240,163,16,22,201,163,201
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000297,3,112,83,6,13,102,83,102
1,Cercado,1,Tarija,1874,Gamoneda,1,U.E. Gamoneda,6000307,1,221,155,17,30,202,155,202
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000317,1,240,160,21,28,209,160,209
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000327,2,240,167,7,25,199,167,199
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000337,3,240,167,5,31,203,167,203
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000347,4,240,174,10,21,205,174,205
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000357,5,240,182,9,30,221,182,221
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000367,6,86,70,1,12,83,70,83
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000377,1,240,138,21,32,191,138,191
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000387,2,240,138,17,32,187,138,187
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000397,3,240,142,11,31,184,142,184
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000407,4,142,71,12,18,101,71,101
1,Cercado,1,Tarija,1877,Tolomosita Centro,1,U.E. Tolomosita,6000427,2,156,108,14,16,138,108,138
1,Cercado,1,Tarija,1878,San Jacinto Sud,1,U.E. San Jacinto Sud,6000437,1,240,152,17,23,192,152,192
1,Cercado,1,Tarija,1880,Pampa Redonda Centro,1,U.E. Luis De Fuentes,6000457,1,240,130,17,27,174,130,174
1,Cercado,1,Tarija,1880,Pampa Redonda Centro,1,U.E. Luis De Fuentes,6000467,2,208,112,14,27,153,112,153
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000477,1,240,141,14,33,188,141,188
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000487,2,240,141,18,25,184,141,184
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000497,3,240,153,11,28,192,153,192
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000507,4,240,137,12,46,195,137,195
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000517,5,240,151,7,25,183,151,183
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000527,6,240,141,15,37,193,141,193
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000537,7,240,129,22,40,191,129,191
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000547,8,23,16,1,0,17,16,17
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000557,1,240,169,16,26,211,169,211
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000567,2,240,160,11,26,197,160,197
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000577,3,240,161,11,28,200,161,200
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000587,4,240,151,11,41,203,151,203
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000597,5,240,160,19,29,208,160,208
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000607,6,240,162,13,32,207,162,207
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000617,7,254,159,16,43,218,159,218
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000627,1,240,124,18,46,188,124,188
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000637,2,240,124,21,44,189,124,189
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000647,3,33,16,6,6,28,16,28
1,Cercado,1,Tarija,1885,Pinos Sud,1,U.E. Pinos Sud,6000657,1,240,130,19,38,187,130,187
1,Cercado,1,Tarija,1885,Pinos Sud,1,U.E. Pinos Sud,6000667,2,171,91,19,19,129,91,129
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000827,1,240,178,7,16,201,178,201
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000847,3,240,185,6,12,203,185,203
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000867,5,240,181,10,8,199,181,199
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000887,7,240,192,3,11,206,192,206
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000907,9,153,119,3,10,132,119,132
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001207,1,240,193,6,14,213,193,213
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001217,2,240,166,8,23,197,166,197
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001227,3,240,192,2,16,210,192,210
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001237,4,240,194,6,8,208,194,208
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001247,5,240,189,8,11,208,189,208
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001257,6,240,194,2,17,213,194,213
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001267,7,240,190,4,13,207,190,207
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001277,8,240,194,3,14,211,194,211
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001287,9,115,86,3,8,97,86,97
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001357,1,240,192,2,11,205,192,205
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001367,2,240,198,3,12,213,198,213
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001377,3,240,177,11,15,203,177,203
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001387,4,240,199,2,9,210,199,210
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001397,5,240,194,7,14,215,194,215
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001417,7,240,192,3,21,216,192,216
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001427,8,240,191,10,9,210,191,210
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001447,10,118,95,3,3,101,95,101
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000957,1,240,198,4,9,211,198,211
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000967,2,240,184,6,15,205,184,205
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000977,3,240,178,6,13,197,178,197
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001007,6,240,194,3,10,207,194,207
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001017,7,240,187,3,1,191,187,191
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001027,8,240,173,8,15,196,173,196
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001037,9,240,192,3,11,206,192,206
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001047,10,240,196,4,9,209,196,209
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001057,11,240,191,11,10,212,191,212
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001067,12,240,203,6,10,219,203,219
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001077,13,240,197,3,8,208,197,208
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001087,14,38,32,0,2,34,32,34
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002077,1,240,201,7,15,223,201,223
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002087,2,240,186,8,19,213,186,213
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002097,3,240,187,6,11,204,187,204
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002107,4,240,190,0,15,205,190,205
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002117,5,240,206,3,9,218,206,218
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002127,6,240,198,7,12,217,198,217
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002137,7,240,190,7,14,211,190,211
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002147,8,240,178,8,23,209,178,209
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002157,9,240,192,7,9,208,192,208
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002167,10,240,194,4,13,211,194,211
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002177,11,240,191,4,21,216,191,216
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002187,12,152,113,4,21,138,113,138
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001457,1,240,194,4,14,212,194,212
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001467,2,240,182,5,12,199,182,199
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001477,3,240,197,2,8,207,197,207
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001487,4,240,191,8,15,214,191,214
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001497,5,240,196,5,15,216,196,216
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001507,6,240,185,6,12,203,185,203
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001517,7,186,146,6,14,166,146,166
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000917,1,240,184,6,18,208,184,208
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000927,2,240,199,3,11,213,199,213
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000937,3,240,184,7,12,203,184,203
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000947,4,208,152,5,12,169,152,169
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002847,1,240,177,8,26,211,177,211
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002857,2,240,152,7,32,191,152,191
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002867,3,240,158,12,20,190,158,190
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002877,4,240,159,8,30,197,159,197
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002887,5,240,166,14,27,207,166,207
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002897,6,240,174,9,24,207,174,207
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002917,8,240,167,12,25,204,167,204
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002927,9,240,180,7,19,206,180,206
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002937,10,240,178,4,19,201,178,201
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002947,11,240,169,11,26,206,169,206
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002957,12,240,153,11,37,201,153,201
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002967,13,240,180,4,28,212,180,212
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002977,14,240,170,11,24,205,170,205
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002987,15,240,174,6,24,204,174,204
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002997,16,240,178,7,18,203,178,203
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6003007,17,240,169,15,24,208,169,208
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6003017,18,240,169,9,19,197,169,197
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6003027,19,106,76,4,8,88,76,88
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002327,1,240,185,10,17,212,185,212
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002337,2,240,187,3,21,211,187,211
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002357,4,240,167,11,26,204,167,204
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002387,7,240,188,4,16,208,188,208
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002397,8,240,171,11,23,205,171,205
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002407,9,240,178,5,25,208,178,208
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002417,10,240,171,10,19,200,171,200
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002427,11,240,189,10,16,215,189,215
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002437,12,240,169,13,22,204,169,204
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002447,13,240,162,6,37,205,162,205
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002457,14,240,168,8,21,197,168,197
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002467,15,240,175,9,33,217,175,217
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002477,16,240,177,6,25,208,177,208
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002487,17,240,178,10,23,211,178,211
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002497,18,242,177,4,21,202,177,202
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001297,1,240,174,10,13,197,174,197
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001307,2,240,191,5,10,206,191,206
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001317,3,240,192,5,8,205,192,205
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001337,5,240,192,4,10,206,192,206
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001347,6,92,74,2,3,79,74,79
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005257,1,240,188,3,21,212,188,212
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005267,2,240,194,5,10,209,194,209
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005277,3,240,188,4,21,213,188,213
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005287,4,240,192,8,16,216,192,216
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005297,5,240,195,5,12,212,195,212
