CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Nicolás Suárez,1,Cobija,2751,Nueva Esperanza,13,U.E. Nueva Esperanza,9000061,1,170,109,38,3,150,109,150
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000771,1,240,138,33,28,199,138,199
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000781,2,240,164,30,12,206,164,206
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000791,3,240,143,36,19,198,143,198
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000801,4,62,31,12,5,48,31,48
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000811,1,240,134,32,25,191,134,191
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000821,2,240,133,32,21,186,133,186
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000831,3,240,118,24,34,176,118,176
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000841,4,240,116,39,25,180,116,180
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000851,5,92,51,9,11,71,51,71
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000221,2,240,130,37,21,188,130,188
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000231,3,240,117,41,22,180,117,180
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000271,7,240,123,48,22,193,123,193
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000281,8,240,107,46,25,178,107,178
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000291,9,240,129,42,18,189,129,189
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000301,10,240,113,46,21,180,113,180
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000311,11,158,92,26,14,132,92,132
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000011,1,240,105,56,28,189,105,189
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000021,2,240,99,68,24,191,99,191
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000031,3,240,107,63,24,194,107,194
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000041,4,240,121,45,24,190,121,190
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000051,5,191,84,37,15,136,84,136
1,Nicolás Suárez,1,Cobija,2773,Cobija,13,(Cárcel) Cárcel Pública (Villa Busch),9000071,1,240,88,108,8,204,88,204
1,Nicolás Suárez,1,Cobija,2773,Cobija,13,(Cárcel) Cárcel Pública (Villa Busch),9000091,3,28,10,12,3,25,10,25
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000101,1,240,139,47,22,208,139,208
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000111,2,240,108,50,36,194,108,194
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000131,4,240,94,56,48,198,94,198
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000141,5,240,100,56,39,195,100,195
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000161,7,117,54,30,16,100,54,100
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000861,1,240,109,21,25,155,109,155
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000871,2,240,102,20,20,142,102,142
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000881,3,240,116,35,16,167,116,167
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000901,5,240,105,35,20,160,105,160
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000911,6,240,114,33,17,164,114,164
