CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,DESPIERTA,MTS,PATRIA-UNIDOS,TUFE,CPEM-B,LIBRE,A-UPP,VAMOS,NGP,APB-SUMATE,MNR,AVANZAR,F.S.D.
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000187,1,37,7,67,14,2,,18,,1,,17,,
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000197,2,34,8,43,11,2,,23,,0,,16,,
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000207,3,39,3,58,12,1,,9,,1,,18,,
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000217,4,4,0,4,2,0,,1,,0,,1,,
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000227,1,46,4,77,8,0,,4,,0,,19,,
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000237,2,48,5,61,11,4,,13,,0,,15,,
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000247,3,32,0,68,21,0,,12,,3,,21,,
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000257,4,46,4,49,18,1,,13,,0,,12,,
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000267,5,33,2,68,10,3,,17,,1,,24,,
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000277,6,25,2,56,18,6,,13,,0,,11,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000907,1,27,13,39,13,2,,15,,4,,18,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000917,2,19,10,59,13,3,,22,,6,,16,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000927,3,14,12,51,21,1,,24,,7,,7,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000937,4,31,8,44,17,4,,18,,4,,16,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000947,5,23,12,38,14,3,,19,,2,,14,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000957,6,26,9,53,16,3,,22,,3,,15,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000967,7,25,11,41,12,3,,23,,6,,17,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000977,8,20,11,32,15,7,,18,,2,,19,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000987,9,22,3,35,16,3,,12,,2,,27,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000997,10,23,17,49,13,0,,16,,4,,9,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001007,11,15,16,32,18,3,,19,,4,,13,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001017,12,26,5,58,12,2,,24,,4,,15,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001027,13,29,12,36,7,6,,14,,4,,11,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001037,14,26,8,37,13,1,,19,,5,,20,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001047,15,21,7,65,11,3,,24,,4,,12,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001057,16,17,21,35,17,2,,22,,5,,11,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001067,17,44,4,40,17,1,,21,,1,,13,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001077,18,37,10,49,15,3,,25,,2,,15,,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001087,19,20,10,32,8,3,,11,,0,,11,,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001617,1,34,11,42,12,4,,13,,2,,17,,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001627,2,24,4,55,10,0,,21,,3,,18,,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001637,3,30,2,55,9,4,,16,,4,,18,,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001647,4,26,4,36,14,4,,23,,1,,15,,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001657,5,35,7,53,10,1,,21,,5,,22,,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001667,6,26,3,49,9,1,,17,,1,,34,,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001677,7,20,4,37,12,2,,21,,5,,16,,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001687,8,21,5,50,13,3,,17,,4,,19,,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001697,9,25,3,52,16,6,,27,,2,,22,,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001707,10,36,11,44,12,5,,18,,2,,14,,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001717,11,41,2,46,18,1,,15,,0,,16,,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001727,12,28,9,49,17,2,,17,,2,,15,,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001737,1,21,5,76,11,3,,20,,2,,21,,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001747,2,29,4,54,8,3,,18,,0,,23,,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001757,3,33,7,48,24,4,,21,,3,,12,,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001767,4,24,9,60,18,1,,14,,1,,15,,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001777,5,32,3,58,12,0,,12,,4,,14,,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001787,6,35,2,66,17,1,,22,,2,,15,,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001797,7,29,4,56,15,1,,20,,3,,16,,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001807,8,22,5,48,14,4,,21,,3,,15,,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001817,9,29,5,65,17,3,,15,,2,,15,,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001827,10,21,3,44,12,6,,10,,2,,10,,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000577,1,20,7,71,12,6,,14,,2,,11,,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000587,2,26,4,59,16,9,,20,,2,,9,,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000597,3,26,11,60,16,1,,16,,2,,25,,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000607,4,21,8,67,18,4,,15,,4,,22,,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000617,5,19,7,56,11,11,,20,,4,,21,,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000627,6,26,3,75,11,3,,21,,4,,19,,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000637,7,24,6,82,15,4,,13,,4,,21,,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000647,8,26,5,67,17,4,,13,,5,,21,,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000657,9,26,4,58,14,9,,11,,3,,17,,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000667,10,25,6,65,12,6,,15,,8,,16,,
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002167,1,46,0,75,8,2,,13,,2,,14,,
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002177,2,28,4,76,8,2,,17,,2,,16,,
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002187,3,45,1,62,10,1,,16,,2,,15,,
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002197,4,35,1,60,13,4,,17,,2,,15,,
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002207,5,46,2,58,18,4,,18,,1,,11,,
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002217,6,35,0,66,12,1,,23,,3,,20,,
1,Cercado,1,Trinidad,2526,Trinidad,10,U.E. Hormando Ortiz Chávez,8002467,1,34,5,72,8,3,,7,,4,,16,,
1,Cercado,1,Trinidad,2526,Trinidad,10,U.E. Hormando Ortiz Chávez,8002477,2,33,1,64,14,2,,15,,1,,23,,
1,Cercado,1,Trinidad,2526,Trinidad,10,U.E. Hormando Ortiz Chávez,8002487,3,30,3,62,14,3,,5,,1,,21,,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001887,1,41,7,61,11,1,,14,,8,,17,,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001897,2,29,7,77,15,2,,20,,3,,14,,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001907,3,21,2,60,17,3,,19,,2,,20,,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001917,4,32,4,71,16,1,,24,,3,,15,,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001927,5,25,8,56,14,3,,12,,4,,23,,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001937,6,36,3,63,19,5,,12,,0,,13,,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001947,7,28,5,69,18,2,,18,,5,,11,,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001957,8,33,0,56,21,6,,12,,0,,21,,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001967,9,32,1,42,16,5,,14,,1,,14,,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001977,10,18,6,58,16,2,,15,,3,,15,,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001987,11,36,4,60,9,0,,12,,4,,19,,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001997,12,40,2,60,9,2,,14,,2,,14,,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8002007,13,36,4,55,7,2,,10,,0,,12,,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003297,1,36,4,65,9,2,,21,,2,,12,,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003307,2,28,10,61,14,0,,19,,4,,14,,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003317,3,19,7,67,21,2,,14,,3,,11,,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003327,4,34,5,63,9,1,,15,,2,,9,,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003337,5,30,6,63,11,9,,20,,1,,16,,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003347,6,21,5,65,15,5,,23,,0,,15,,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003357,7,32,5,78,5,4,,18,,1,,16,,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003367,8,23,5,62,16,7,,20,,2,,11,,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003377,9,19,4,77,15,2,,16,,1,,15,,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003387,10,28,8,69,9,7,,16,,4,,16,,
